"original_text","lang","place","compound","neg","neu","pos","sentiment","created_at","city","country","sentiment_int"
"""As their EU counterparts went into lockdown in early March, Johnson and his team dithered and spread the virus amo… https://t.co/XZdLAXaP0D","en","Windsor, Ontario, Canada",0,0,1,0,"neu",2020-04-24,"Windsor","Canada",0
"RT @cityoftoronto: Spiritual, emotional and mental well-being are important while #StayingHome. Plan to observe Ramadan only with those who…","en","Toronto, Canada",0.2732,0,0.769,0.231,"pos",2020-04-24,"Toronto","Canada",1
"CPRS members, join us today at noon ET for the first of our Coffee Chats. @VictorVrsnik will host a presentation on… https://t.co/IzOq6MEOBu","en","Canada",0.296,0,0.82,0.18,"pos",2020-04-24,NA,"Canada",1
"COVID-19: Threats Abound: How to Protect Your Remote Workforce

https://t.co/xphbsSBP70

#legaltech #legalit… https://t.co/qqQbk0mbLy","en","Toronto, Canada",-0.2023,0.34,0.4,0.26,"neg",2020-04-24,"Toronto","Canada",-1
"In all the kerfuffle over Trump's suggestion that people should snort bleach to cure COVID-19, we didn’t give nearl… https://t.co/T8nRYsjr6Q","en","Canada",0,0,1,0,"neu",2020-04-24,NA,"Canada",0
"“Highly infectious diseases like COVID-19 will thrive when individuals don’t have the financial means to live indep… https://t.co/hLQ4GXxOBn","en","Canada",0.3612,0,0.8,0.2,"pos",2020-04-24,NA,"Canada",1
"At this stage in the pandemic, improving government accounting may not seem a high priority, but it could truly be… https://t.co/u634I1tJ3g","en","Toronto, Canada",0,0,1,0,"neu",2020-04-24,"Toronto","Canada",0
"RT @AGENTW15: Terry Glavin: 'We are losing': While world battles COVID-19, China crushes Hong Kong https://t.co/JIyrEeQ4PI via @nationalpost","en","Ontario, Canada",-0.5106,0.323,0.677,0,"neg",2020-04-24,"Ontario","Canada",-1
"RT @CBCQuebec: Quebec City has had 35 COVID-19 related deaths. 19 of those deaths are related to the region's most important outbreak, at t…","en","Québec, Québec, Canada",-0.8316,0.494,0.506,0,"neg",2020-04-24,"Québec","Canada",-1
"RT @McMasterU: Spending your social distancing time at one with the couch? That could have scary health consequences, including a greater r…","en","Dundas, Ontario, Canada",0.3612,0,0.815,0.185,"pos",2020-04-24,"Dundas","Canada",1
"It would be fun to do a study on how/if Twitter has evolved since COVID-19 hit. Are people becoming more hostile? C… https://t.co/56CP4SjBJ5","en","Ontario, Canada",0.5106,0,0.752,0.248,"pos",2020-04-24,"Ontario","Canada",1
"@globalnews They have no tests in NY for COVID-19 but they have millions of tests in the last week for antibodies??????","en","Ontario, Canada",0,0,1,0,"neu",2020-04-24,"Ontario","Canada",0
"RT @Richvn: ""the fervour surrounding chloroquine has created drug shortages and affected enrolment in clinical trials for other potential t…","en","Toronto, Canada",0,0,1,0,"neu",2020-04-24,"Toronto","Canada",0
"RT @ccpa: That the largest proportion of #COVID19 deaths in Canada are in nursing homes attests [to] the vulnerability of residents... and…","en","Halifax, Nova Scotia, Canada",-0.5994,0.328,0.672,0,"neg",2020-04-24,"Halifax","Canada",-1
"All y’all, here is a great resource with free webinars about Harm a Reduction Policies and Interventions During COV… https://t.co/HE6gTTE7Uj","en","Alberta, Canada",0.5994,0.207,0.355,0.438,"pos",2020-04-24,"Alberta","Canada",1
"RT @Dave_Khan: Lysol and Dettol manufacturer tells customers not to inject disinfectants as possible treatment for COVID-19  https://t.co/u…","en","Pembroke, Ontario, Canada",0,0,1,0,"neu",2020-04-24,"Pembroke","Canada",0
"RT @FOAMpodcast: COVIDcast: New study on oxygenation and intubation with Self proning #COVID19 patients in NY 
📖https://t.co/EKMcQUkKaI
🎧ht…","en","British Columbia, Canada",0,0,1,0,"neu",2020-04-24,"British Columbia","Canada",0
"@SparkyMauro @bruce_arthur When did she say Covid 19 would not affect Canada. Show us the text or un-modified clip of this. We will wait.","en","Canada",0,0,1,0,"neu",2020-04-24,NA,"Canada",0
"Is it wrong that @Airbnb won’t give a refund on a 600$ deposit when a trip had to be cancelled due to Covid-19 rest… https://t.co/R4o4Yhg3wA","en","Canada",-0.6249,0.421,0.579,0,"neg",2020-04-24,NA,"Canada",-1
"JOIN OUR COMMUNITY! Our CHSE emails will keep you informed about #CPD offerings, registration info, resources, and… https://t.co/WZTlZBUa4J","en","Hamilton, Ontario, Canada",0.296,0,0.804,0.196,"pos",2020-04-24,"Hamilton","Canada",1
"RT @ForestofReading: Today, the #ForestofReading password website https://t.co/YUu7AYWOu2 (previously only available to paid registrants) i…","en","Brampton, Ontario, Canada",0,0,1,0,"neu",2020-04-24,"Brampton","Canada",0
