"original_text","lang","place","compound","neg","neu","pos","sentiment","created_at","city","country","sentiment_int"
"RT @DFBHarvard: Why is only California burning &amp; burning &amp; burning?

It must be Trump's fault.

California is destroying itself!

No other…","en","Lotus Land, Canada",-0.7351,0.47,0.53,0,"neg",2020-09-12,"Lotus Land","Canada",-1
"#Coronavirus #antibodies fade after only a month, study shows https://t.co/Yc6qCzeM3e via @Yahoo","en","Winnipeg, Manitoba, Canada",0,0,1,0,"neu",2020-09-13,"Winnipeg","Canada",0
"RT @picardonhealth: 'We are trying to make things as normal as possible, to not scare any kids"" -- No masks,😷no distancing (but small class…","en","Canada",-0.4939,0.242,0.758,0,"neg",2020-09-13,NA,"Canada",-1
"RT @porpentina2017: This is what the pResident condones. He knew/knows this virus is airborne and deadly. In this sea of people at the #Tru…","en","Alberta, Canada",0,0,1,0,"neu",2020-09-13,"Alberta","Canada",0
"RT @CTVToronto: The United States, India, Germany and Mexico are among some of the 10 countries where the flights originated from. 

https:…","en","Toronto, Canada",0,0,1,0,"neu",2020-09-15,"Toronto","Canada",0
"RT @CP24: Ford calls lineups at assessment centres ‘ridiculous,’ says testing could be done at pharmacies https://t.co/UEcy00eRm7","en","Canada",0,0,1,0,"neu",2020-09-15,NA,"Canada",0
"We’ve accepted the #3Things4Neighbours Challenge. See how we’ve been supporting our Communities during the COVID-19… https://t.co/bobCCL3lB2","en","Calgary, AB, Canada",0.6486,0,0.43,0.57,"pos",2020-09-15,"Calgary","Canada",1
"@DrDenaGrayson @realDonaldTrump To keep in perspective how poorly the US is doing in handling the virus, all you ha… https://t.co/XcSDovFznX","en","Canada",0.34,0,0.676,0.324,"pos",2020-09-17,NA,"Canada",1
"'We're afraid of reliving the spring': Advocates worry about new long-term care outbreaks https://t.co/ZS0SCDmSao","en","London, Ontario, Canada",0.4939,0,0.738,0.262,"pos",2020-09-17,"London","Canada",1
"RT @ezralevant: In the Greater Toronto Area, population 6 million+, there are a grand total of 20 virus cases in the hospital &amp; only 7 in I…","en","Canada",0.6705,0,0.593,0.407,"pos",2020-09-17,NA,"Canada",1
